Haralick1,Haralick2,Haralick3,Haralick4,Haralick5,Haralick6,Haralick7,Haralick8,Haralick9,Haralick10,Haralick11,Haralick12,Haralick13,Class
0.000929321,40.66002248,0.990862524,2226.118875,0.307200568,282.0067664,8863.815476,7.924234191,11.02175209,0.000518437,3.357348885,-0.413406807,0.998259953,0
0.00101869,11.92007242,0.997173052,2108.272704,0.438837624,242.131592,8421.170744,8.286231762,10.63044788,0.001016852,2.604791778,-0.542482145,0.999797798,0
0.000771166,23.79663227,0.993637855,1870.632397,0.334476314,286.8478587,7458.732958,8.123084382,11.12770562,0.000565008,3.215340017,-0.440026509,0.998948332,0
0.000290353,207.6724018,0.958886526,2528.843725,0.168570646,295.1748782,9907.702499,8.461101421,12.26326074,0.000263096,4.373475912,-0.363045852,0.997695743,0
0.001083012,5.790478009,0.998764153,2343.005991,0.469720436,226.5286519,9366.233485,8.319733017,10.43739677,0.001025736,2.38754484,-0.574754288,0.999879872,0
0.00132832,27.44127599,0.987354668,1085.173813,0.399017192,222.4600283,4313.253975,7.976686891,10.79340852,0.000738714,3.088406474,-0.45410685,0.999020092,0
0.001411303,13.20576292,0.994688688,1243.369795,0.462283719,207.7910808,4960.273416,8.028446602,10.2492301,0.000885822,2.571798742,-0.542297483,0.999736458,0
0.001194254,12.867895,0.997521197,2596.429717,0.432391744,299.2828903,10372.85097,8.25669919,10.60840242,0.000853622,2.638624117,-0.539156358,0.999781137,0
0.00057146,58.35293155,0.988746358,2592.852317,0.330573762,293.3907656,10313.05634,8.411466953,11.62433059,0.000526944,3.454954459,-0.43498697,0.999120803,0
0.001825115,15.26418098,0.997506135,3061.985855,0.486395743,300.0334959,12232.67924,8.286493207,10.43429473,0.000966388,2.674553874,-0.569481666,0.999853479,0
0.000524037,66.18229546,0.992827671,4616.707499,0.243413477,318.5987854,18400.6477,8.448625791,11.93031829,0.000398204,3.813360823,-0.401217451,0.998647126,0
0.002029389,2.419508685,0.99881533,1021.280954,0.587122175,196.801757,4082.704305,8.005303335,9.542655349,0.001365858,1.895608727,-0.638469177,0.99992889,0
0.000418673,77.02936652,0.984755898,2526.371647,0.248254871,232.3542284,10028.45722,8.444106155,12.12364428,0.000317257,4.058633825,-0.375781332,0.998000745,0
0.001856849,6.062963767,0.998409925,1907.643974,0.571618022,226.568241,7624.512933,8.199624541,9.9610149,0.001418981,2.199186455,-0.620325743,0.999926792,0
0.001113278,10.55972912,0.997657759,2255.145026,0.41896198,333.9763387,9010.020376,8.270858276,10.72096143,0.00078425,2.697922874,-0.526354926,0.999739098,0
0.002008846,8.324923426,0.991669036,499.9093909,0.410531857,235.5473888,1991.31264,7.366310261,9.744675482,0.000953707,2.598146291,-0.470820902,0.998632241,0
0.000419303,148.0138162,0.977753121,3327.210047,0.24118838,276.4687552,13160.82637,8.402144737,12.3622168,0.000289979,4.325108424,-0.338664226,0.996478137,0
0.001120041,9.622625596,0.996601112,1417.436287,0.412897559,246.5854088,5660.122521,8.047084319,10.45276551,0.001017668,2.6974214,-0.518334067,0.999620788,0
0.000745863,10.99478937,0.998610806,3957.613759,0.383235983,292.6434457,15819.46025,8.643948321,11.18913669,0.00069741,2.82400512,-0.537082536,0.99985242,0
0.004027277,5.217548959,0.998670285,1962.322182,0.616854352,298.2287592,7844.071177,7.957538414,9.429526564,0.001308656,2.136360237,-0.649879923,0.999938253,0
0.001589688,4.095157529,0.999271452,2810.941352,0.575823703,264.2660397,11239.67025,8.380911065,10.03176255,0.001324918,2.064042601,-0.642814868,0.999958584,0
0.00089415,31.28711611,0.990924188,1724.18508,0.370506266,249.3870286,6865.453204,8.225185302,10.947362,0.000692831,3.048434368,-0.486828877,0.999516673,0
0.002969852,15.2628014,0.990720461,822.7514009,0.483160837,256.9892099,3275.742802,7.431365631,9.641525159,0.001165559,2.625676468,-0.503731427,0.999165379,0
0.001882066,12.96588218,0.994081856,1096.427569,0.424230091,214.9356543,4372.744395,7.82964942,10.1393395,0.001005102,2.730783561,-0.517757502,0.999529265,0
